population	plantID	Inflo	infloID	Numfl	posicionestig	Longestigma	styleexertion	herkoAbsol	posicionestilo	herkoRela	longcor	anchcor	longP	anchP
ST	ST51bis	RJ	ST51bisRJ		E	4.64	4.64	1.66	EE	1.66	27.49	2.1	6.63	4.43
ST	ST51bis	RJ	ST51bisRJ		E	5.88	5.88	2.24	EE	2.24	26.92	1.91	8.43	4.88
ST	ST51bis	AZ	ST51bisAZ	11	E	9.52	9.52	5.68	EE	5.68	31.59	1.63	7.2	4.75
ST	ST51bis	AZ	ST51bisAZ		E	6.09	6.09	4.34	EE	4.34	18.61	1.8	5.79	3.76
ST	ST53	AZ	ST53AZ	9	E	8.32	8.32	9.23	DE	-9.23	30.89	2.11	9.95	10.92
ST	ST53	AZ	ST53AZ		AP	0	0	9.29	DE	-9.29	27.47	2.24	8.64	7.51
ST	ST53	AZ	ST53AZ		AP	0	0	5.98	DE	-5.98	26.95	1.63	8.47	5.26
ST	ST53	BL	ST53BL	15	E	6.91	6.91	9.25	EE	9.25	19.23	1.52	6.07	4.31
ST	ST53	BL	ST53BL		E	6.54	6.54	4.22	EE	4.22	11.72	1.24	5.45	3.52
ST	ST53	BL	ST53BL		E	6.4	6.4	2.31	EE	2.31	28.59	2.18	10.72	6.39
ST	ST53	BL	ST53BL		E	4.79	4.79	1.94	EE	1.94	25.43	1.76	8.08	4.78
ST	ST53	RJ	ST53RJ	11	AP	0	0	4.68	DE	-4.68	35.03	2.15	12.32	7.36
ST	ST53	RJ	ST53RJ		AP	0	0	4.22	DE	-4.22	33.96	2.33	12.85	7.51
ST	ST53	RJ	ST53RJ		AP	0	0	5.53	DE	-5.53	33.82	2.23	12.11	8.31
ST	ST53	RJ	ST53RJ		AP	0	0	3.45	DE	-3.45	31.78	2.89	12.43	8.37
ST	ST53	RS	ST53RS	12	E	2.73	2.73	1.96	DE	-1.96	27.7	2.09	9.01	8.46
ST	ST53	RS	ST53RS		E	6.96	6.96	2.76	EE	2.76	22.16	2	9.73	5.57
ST	ST53	RS	ST53RS		E	6.12	6.12	2.25	EE	2.25	25.72	1.72	9.75	5.65
ST	ST53	AM	ST53AM	12	E	3.72	3.72	2.13	EE	2.13	19.18	1.94	8.91	6.94
ST	ST53	AM	ST53AM		E	1.22	1.22	1.57	DE	-1.57	24.51	1.97	9.28	7.28
ST	ST53	AM	ST53AM		E	2.68	2.68	0	MA	0	24.14	1.75	9.7	5.65
ST	ST53	AM	ST53AM		E	3.49	3.49	0	MA	0	17.85	1.51	8.54	3.79
ST	ST54	AZ	ST54AZ	17	E	7.03	7.03	3.15	EE	3.15	30.64	1.6	6.77	4.7
ST	ST54	AZ	ST54AZ		E	8.66	8.66	3.74	EE	3.74	33.17	2.49	10.01	9.24
ST	ST54	AZ	ST54AZ		E	7.43	7.43	4.46	EE	4.46	30.24	1.45	6.67	3.43
ST	ST54	AZ	ST54AZ		E	7.34	7.34	4	EE	4	29.89	1.47	8.1	3.55
ST	ST54	RJ	ST54RJ	6	E	6.29	6.29	2.91	EE	2.91	31.24	2.33	8.97	4.65
ST	ST54	RJ	ST54RJ		E	8.5	8.5	3.77	EE	3.77	29.89	1.7	7.37	7.42
B	B2	RS	B2RS	25	E	4.01	4.01	0	MA	0	19.83	1.7	6.08	6.99
B	B2	RS	B2RS		E	6.63	6.63	2.65	EE	2.65	23.62	2.03	8.11	8.3
B	B2	RS	B2RS		E	4.29	4.29	1.18	EE	1.18	26.3	1.57	9.1	8.93
B	B2	RS	B2RS		E	5.19	5.19	1.07	EE	1.07	22.34	1.48	7.19	5.15
B	B2	AZ	B2AZ	19	E	4.85	4.85	1.39	EE	1.39	20.07	1.39	5.89	6.91
B	B2	AZ	B2AZ		E	2.92	2.92	1.26	EE	1.26	17.24	1.57	6.4	5.51
B	B2	AZ	B2AZ		E	5.1	5.1	3.66	EE	3.66	14.35	1.65	5.45	3.82
B	B2	AZ	B2AZ		E	5.24	5.24	3.53	EE	3.53	10.86	1.32	6.1	3.62
B	B2	RJ	B2RJ	26	E	0.11	0.11	3.11	EE	3.11	15.62	1.54	5.71	5.14
B	B2	RJ	B2RJ		E	5.06	5.06	2.07	EE	2.07	12.28	1.56	5.98	7.22
B	B2	AM	B2AM	13	E	3.7	3.7	0	MA	0	24.36	1.9	10.29	8.94
B	B2	AM	B2AM		E	4.5	4.5	4.63	EE	4.63	26.28	1.87	8.92	9.14
B	B2	AM	B2AM		E	5.23	5.23				13.23	1.68	8.19	8.75
B	B2	AM	B2AM		E	2.56	2.56	0	MA	0	23.36	2.04	5.15	6.52
B	B2	BL	B2BL	27	E	4.61	4.61	0	MA	0	19.75	1.79	6.12	5.52
B	B2	BL	B2BL		D	1.8	-1.8	6.23	DE	-6.23	28.92	2.13	10.08	7.98
B	B2	BL	B2BL		E	2.77	2.77	0	MA	0	21.12	1.69	8.24	7.48
B	B1	BL	B1BL	28	E	2.91	2.91	2.28	DE	-2.28	16.65	1.2	4.21	3.32
B	B1	BL	B1BL		E	6.12	6.12	1.93	EE	1.93	18.25	1.77	4.48	3.37
B	B1	BL	B1BL		E	2.95	2.95	0.82	DE	-0.82	18.39	1.82	5.62	5.4
B	B1	BL	B1BL		D	6.65	-6.65	3.64	EE	3.64	15.91	1.29	4.73	4.55
B	B1	AM	B1AM	30	E	5.43	5.43	1.95	EE	1.95	14.44	1.2	6.12	4.36
